timestamp,solar_irradiance,solar_irradiance_forecast
2025-02-24 14:30:00+07:00,528.365,444.0
2025-02-24 14:40:00+07:00,546.043,444.0
2025-02-24 14:50:00+07:00,531.446,444.0
2025-02-24 15:00:00+07:00,382.768,539.0
2025-02-24 15:10:00+07:00,351.782,539.0
2025-02-24 15:20:00+07:00,424.86,539.0
2025-02-24 15:30:00+07:00,387.531,539.0
2025-02-24 15:40:00+07:00,262.035,539.0
2025-02-24 15:50:00+07:00,282.9,539.0
2025-02-24 16:00:00+07:00,323.864,320.0
2025-02-24 16:10:00+07:00,231.417,320.0
2025-02-24 16:20:00+07:00,254.153,320.0
2025-02-24 16:30:00+07:00,249.221,320.0
2025-02-24 16:40:00+07:00,175.313,320.0
2025-02-24 16:50:00+07:00,147.49,320.0
2025-02-24 17:00:00+07:00,120.528,106.0
2025-02-24 17:10:00+07:00,117.658,106.0
2025-02-24 17:20:00+07:00,100.667,106.0
2025-02-24 17:30:00+07:00,77.388,106.0
2025-02-24 17:40:00+07:00,27.28,106.0
2025-02-24 17:50:00+07:00,9.949,106.0
2025-02-24 18:00:00+07:00,5.841,0.0
2025-02-24 18:10:00+07:00,4.125,0.0
2025-02-24 18:20:00+07:00,1.915,0.0
2025-02-24 18:30:00+07:00,0.482,0.0
2025-02-24 18:40:00+07:00,0.068,0.0
2025-02-24 18:50:00+07:00,0.031,0.0
2025-02-24 19:00:00+07:00,0.017,0.0
2025-02-24 19:10:00+07:00,0.028,0.0
2025-02-24 19:20:00+07:00,0.025,0.0
2025-02-24 19:30:00+07:00,0.022,0.0
2025-02-24 19:40:00+07:00,0.022,0.0
2025-02-24 19:50:00+07:00,0.021,0.0
2025-02-24 20:00:00+07:00,0.027,0.0
2025-02-24 20:10:00+07:00,0.014,0.0
2025-02-24 20:20:00+07:00,0.005,0.0
2025-02-24 20:30:00+07:00,0.006,0.0
2025-02-24 20:40:00+07:00,0.002,0.0
2025-02-24 20:50:00+07:00,0.003,0.0
2025-02-24 21:00:00+07:00,0.003,0.0
2025-02-24 21:10:00+07:00,0.003,0.0
2025-02-24 21:20:00+07:00,0.0,0.0
2025-02-24 21:30:00+07:00,0.005,0.0
2025-02-24 21:40:00+07:00,0.006,0.0
2025-02-24 21:50:00+07:00,0.004,0.0
2025-02-24 22:00:00+07:00,0.004,0.0
2025-02-24 22:10:00+07:00,0.001,0.0
2025-02-24 22:20:00+07:00,0.007,0.0
2025-02-24 22:30:00+07:00,0.002,0.0
2025-02-24 22:40:00+07:00,0.002,0.0
2025-02-24 22:50:00+07:00,0.002,0.0
2025-02-24 23:00:00+07:00,0.004,0.0
2025-02-24 23:10:00+07:00,0.003,0.0
2025-02-24 23:20:00+07:00,0.004,0.0
2025-02-24 23:30:00+07:00,0.002,0.0
2025-02-24 23:40:00+07:00,0.002,0.0
