timestamp,solar_irradiance,solar_irradiance_forecast_sarimax_v2
2025-02-24 21:10:00+07:00,0.003,0.0799607952846725
2025-02-24 21:20:00+07:00,0.0,0.0762482944211588
2025-02-24 21:30:00+07:00,0.005,0.077644402799838
2025-02-24 21:40:00+07:00,0.006,0.0775638104777743
2025-02-24 21:50:00+07:00,0.004,0.0758597865156705
2025-02-24 22:00:00+07:00,0.004,0.0184533066632215
2025-02-24 22:10:00+07:00,0.001,0.015428556612019
2025-02-24 22:20:00+07:00,0.007,0.0138267525899333
2025-02-24 22:30:00+07:00,0.002,0.0163870761526109
2025-02-24 22:40:00+07:00,0.002,0.0153371383018917
2025-02-24 22:50:00+07:00,0.002,0.0168675812690604
2025-02-24 23:00:00+07:00,0.004,-0.0003418394907042
2025-02-24 23:10:00+07:00,0.003,0.0018619102658007
2025-02-24 23:20:00+07:00,0.004,0.0038794768714559
2025-02-24 23:30:00+07:00,0.002,0.0034319583147176
2025-02-24 23:40:00+07:00,0.002,0.0044193949969555
2025-02-24 23:50:00+07:00,0.001,0.0023376578744234
2025-02-25 00:00:00+07:00,0.006,-0.0015825965292992
2025-02-25 00:10:00+07:00,0.004,-0.0039646692778296
2025-02-25 00:20:00+07:00,0.009,-0.0059717169097395
2025-02-25 00:30:00+07:00,0.007,-0.0054403979311705
2025-02-25 00:40:00+07:00,0.003,-0.0064489503028148
2025-02-25 00:50:00+07:00,0.003,-0.0053870687873263
2025-02-25 01:00:00+07:00,0.012,0.0010470018349497
2025-02-25 01:10:00+07:00,0.01,-0.0017307340265905
2025-02-25 01:20:00+07:00,0.009,-0.0033084506137127
2025-02-25 01:30:00+07:00,0.015,-0.004334502333654
2025-02-25 01:40:00+07:00,0.011,-0.005360427918492
2025-02-25 01:50:00+07:00,0.003,-0.0016725948022136
2025-02-25 02:00:00+07:00,0.003,-0.0004368994108838
2025-02-25 02:10:00+07:00,0.009,-0.0014790527747607
2025-02-25 02:20:00+07:00,0.011,-0.002483644883922
2025-02-25 02:30:00+07:00,0.009,-0.002500148350661
2025-02-25 02:40:00+07:00,0.015,-0.0019754099856554
2025-02-25 02:50:00+07:00,0.006,0.0006513777857119
2025-02-25 03:20:00+07:00,0.008,-0.0048128561697319
2025-02-25 03:30:00+07:00,0.002,-0.0049763904544206
2025-02-25 03:40:00+07:00,0.003,-0.0034093101387803
2025-02-25 03:50:00+07:00,0.005,-0.002851371415465
2025-02-25 04:00:00+07:00,0.006,-0.0038961438381864
2025-02-25 04:10:00+07:00,0.003,-0.0058976266615483
2025-02-25 04:20:00+07:00,0.005,-0.0027596585171219
2025-02-25 04:30:00+07:00,0.005,-0.0070467101364267
2025-02-25 04:40:00+07:00,0.007,-0.0070396064504251
2025-02-25 04:50:00+07:00,0.004,-0.0054925960424454
2025-02-25 05:00:00+07:00,0.007,-0.0038931584991833
2025-02-25 05:10:00+07:00,0.005,-0.0033551709127198
